region,report_date,year,month,month_sin,month_cos,ppt,ppt_3month_total,tmax,tmax_3month_avg,population,pct_developed,pct_agriculture,pct_forest,pct_shrub_grass,water_use_lastmonth,water_use_lastyear,water_use_last3month_avg,water_use
North Coast,2026-06-01,2026,6,1.2246467991473532e-16,-1.0,11.641275209510487,117.54407164693953,27.13484582084912,22.814620503882576,408805.7529503639,0.034702720315898314,0.026277253458957553,0.48683584577662403,0.4252973586701171,1237557120.0,1615985800.1398,1080560277.3333333,1440913300.0
North Lahontan,2026-06-01,2026,6,1.2246467991473532e-16,-1.0,9.22720714863609,68.34604263454793,25.823599026526935,20.3762494759727,52653.871317263256,0.023379584604922534,0.0270747583739237,0.23365856721547543,0.5990145446299847,337946176.0,446977479.45,275434421.3333333,429922720.0
Sacramento River,2026-06-01,2026,6,1.2246467991473532e-16,-1.0,7.714969035370947,84.33429787853348,30.11638474806635,25.11012591598022,2819048.4012480346,0.0632338804971099,0.13050295911037726,0.2961286588119758,0.4672420879793009,18656524288.0,23931514627.34983,14023660202.666666,21308817000.0
San Francisco Bay,2026-06-01,2026,6,1.2246467991473532e-16,-1.0,1.0740221101564575,40.2939895369818,27.522287624904745,24.399089771713317,6345291.130492545,0.260770995420197,0.026458823988134327,0.16053173548344907,0.38369013550899306,22486429696.0,28549739221.719276,20065178282.666668,24847423000.0
San Joaquin River,2026-06-01,2026,6,1.2246467991473532e-16,-1.0,2.6444458718714423,59.14946748938059,30.618948539747553,25.75421738680359,1441887.5225283413,0.06727659179331104,0.23184087846312143,0.20737692984122102,0.4411034798487962,8685278208.0,11359300418.6783,7024182272.0,9879947000.0
South Coast,2026-06-01,2026,6,1.2246467991473532e-16,-1.0,0.9587015328343124,26.511062556767698,28.928912243292803,25.49399525936633,18648562.714895237,0.33189971532466533,0.0176986110595525,0.06620351758825803,0.5601958975280288,72547360768.0,89507630639.03232,65482747904.0,79523280000.0
South Lahontan,2026-06-01,2026,6,1.2246467991473532e-16,-1.0,1.8404861045346,15.317326707633205,34.97488239331778,29.493998726440854,886598.0496890402,0.02099595681127178,0.004658070134507505,0.03478836599840612,0.8264792560058702,4425797120.0,4899804266.52588,3685579861.3333335,5076796000.0
Tulare Lake,2026-06-01,2026,6,1.2246467991473532e-16,-1.0,1.623157213646789,32.07009401839003,32.009882386850805,27.107124401971916,1975470.044490877,0.06855701557845359,0.318407988636479,0.11826796274021051,0.4604700980804455,14551015424.0,15799383578.069363,11152742741.333334,16107396000.0
Central Coast,2026-07-01,2026,7,-0.4999999999999997,-0.8660254037844388,1.0848919678861206,9.713569749440808,32.29755140164542,29.08969841355054,1172561.6780124388,0.05527399284652916,0.06647525447387241,0.13322881090650826,0.7257131629966616,5275559936.0,5582685708.21586,4632890112.0,5699085300.0
Colorado River,2026-07-01,2026,7,-0.4999999999999997,-0.8660254037844388,5.3070162062428325,8.327982515756402,41.809021941768385,38.258003882241134,661623.984901261,0.02407477841058034,0.0509213327051866,0.004832678951615947,0.7257233241568322,2936823296.0,7204758776.5594,2751219797.3333335,3334178600.0
North Coast,2026-07-01,2026,7,-0.4999999999999997,-0.8660254037844388,4.006995519161173,51.43333951252293,31.4848412905075,27.09583192538989,409635.7098720059,0.034702720315898314,0.026277253458957553,0.48683584577662403,0.4252973586701171,1440913280.0,1667928858.75,1240168832.0,1613635500.0
North Lahontan,2026-07-01,2026,7,-0.4999999999999997,-0.8660254037844388,8.48297006243454,45.2633963110601,30.75641045967738,25.46780011134166,52760.769140093835,0.023379584604922534,0.0270747583739237,0.23365856721547543,0.5990145446299847,429922720.0,520105787.28,341440581.3333333,541268740.0
Sacramento River,2026-07-01,2026,7,-0.4999999999999997,-0.8660254037844388,2.48391054762895,39.90958390733374,34.10170945121342,29.655815820440157,2824771.6297402317,0.0632338804971099,0.13050295911037726,0.2961286588119758,0.4672420879793009,21308817408.0,26411672312.695587,17902441472.0,24758815000.0
