region,report_date,year,month,month_sin,month_cos,ppt,ppt_3month_total,tmax,tmax_3month_avg,population,pct_developed,pct_agriculture,pct_forest,pct_shrub_grass,water_use_lastmonth,water_use_lastyear,water_use_last3month_avg,water_use
San Joaquin River,2026-02-01,2026,2,0.8660254037844386,0.5000000000000001,108.23284725167554,343.67372275134034,13.271993439729902,12.137846783656578,1424375.77208087,0.07682534417940863,0.24388834871498055,0.23399773754221803,0.44528856956339286,4814091264.0,5106867431.801685,5226720597.333333,4641762300.0
South Coast,2026-02-01,2026,2,0.8660254037844386,0.5000000000000001,83.6605777040967,239.16260062682616,17.354471800817837,16.898932209032242,18422075.578163084,0.39177108384652015,0.01862894806066179,0.06625318812504367,0.5233467799677743,50545950720.0,59399437446.00228,59434225664.0,49958027000.0
South Lahontan,2026-02-01,2026,2,0.8660254037844386,0.5000000000000001,28.629390512301452,85.45171924346813,14.546531350972982,13.135698989609478,875830.3000894428,0.023821142978304205,0.0046810996233798,0.039666033307520984,0.931831724090795,2533438976.0,2504190192.7315598,2891685546.6666665,2458051800.0
Tulare Lake,2026-02-01,2026,2,0.8660254037844386,0.5000000000000001,63.26632261023408,196.8237900467918,14.278535686145494,13.051599180571554,1951477.9245126701,0.07755238174512745,0.3334548111378075,0.1349892337170532,0.45400357340001174,7158432768.0,6732440913.489341,7955201706.666667,6952988700.0
Central Coast,2026-03-01,2026,3,1.0,6.123233995736766e-17,98.3555504569114,301.89814323590866,17.116318112805292,16.452079077449884,1157294.1717566338,0.06439072786254832,0.07005618645972994,0.13995807161850124,0.7255950140592206,3321844992.0,3461580341.07605,3552575829.3333335,3640179500.0
Colorado River,2026-03-01,2026,3,1.0,6.123233995736766e-17,16.162585156492575,52.732605994762324,22.426640084789582,19.825216141932838,653009.2156162942,0.027363281998449725,0.06398959049117801,0.006742416739079068,0.9019047107712932,2057233152.0,4559192357.133,2121650816.0,2176650000.0
North Coast,2026-03-01,2026,3,1.0,6.123233995736766e-17,189.42385697811204,626.383566509241,11.823120615272124,10.641924179949118,404301.9897954014,0.040888263992863653,0.02791678897280808,0.5433012210534041,0.3878937259809243,855094784.0,901756172.5029,906333269.3333334,938965950.0
North Lahontan,2026-03-01,2026,3,1.0,6.123233995736766e-17,88.2563213623511,268.20185948887814,7.998829481707176,6.408227501405784,52073.79003442078,0.027442351638137824,0.030510644083170235,0.2813940621229928,0.6606529421556993,230669488.0,195896839.01999998,247159552.0,236200020.0
Sacramento River,2026-03-01,2026,3,1.0,6.123233995736766e-17,142.60842206012956,445.0922663933952,12.970364081806737,11.595473099606993,2787991.288597423,0.07351860541163452,0.13624998309286113,0.3507884367088048,0.4394429747866996,8054969344.0,9941404659.732811,8886944768.0,9257766000.0
San Francisco Bay,2026-03-01,2026,3,1.0,6.123233995736766e-17,102.48733268691907,343.8036471410182,16.56511144922871,15.58187327114985,6275385.831472712,0.31033688166400525,0.03342910937083541,0.2037572465036571,0.45247676246150226,14801205248.0,19647441413.931423,15202990421.333334,16120458000.0
San Joaquin River,2026-03-01,2026,3,1.0,6.123233995736766e-17,127.39768789487388,371.432075823215,14.578268112404084,13.132981893148832,1426002.4234300617,0.07682534417940863,0.24388834871498055,0.23399773754221803,0.44528856956339286,4641762304.0,5983289787.790964,4797349205.333333,5382556700.0
South Coast,2026-03-01,2026,3,1.0,6.123233995736766e-17,78.24118834050016,250.18482270636738,17.754472681407982,17.192371474219158,18443113.772354178,0.39177108384652015,0.01862894806066179,0.06625318812504367,0.5233467799677743,49958027264.0,65650398956.11372,52956540928.0,52737516000.0
South Lahontan,2026-03-01,2026,3,1.0,6.123233995736766e-17,27.762051573129256,91.0160512668398,16.7800912618857,14.562978228591321,876830.5070342871,0.023821142978304205,0.0046810996233798,0.039666033307520984,0.931831724090795,2458051840.0,2849835214.4260397,2583383125.3333335,2819729400.0
Tulare Lake,2026-03-01,2026,3,1.0,6.123233995736766e-17,81.23695728771345,223.87162999630615,15.798857304781338,14.142845898326685,1953706.5317812343,0.07755238174512745,0.3334548111378075,0.1349892337170532,0.45400357340001174,6952988672.0,7452692789.866943,7228085248.0,8089056000.0
Central Coast,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,24.16410942098978,209.78269376187902,20.515372626864032,18.098218727043008,1158757.5071880072,0.06439072786254832,0.07005618645972994,0.13995807161850124,0.7255950140592206,3640179456.0,4006422074.08466,3501850112.0,4399781400.0
Colorado River,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,5.228190407607407,36.253660154656465,27.52706247065013,23.261792665900035,653834.9101938227,0.027363281998449725,0.06398959049117801,0.006742416739079068,0.9019047107712932,2176649984.0,5339894337.3946,2112246400.0,2348193000.0
North Coast,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,89.9906665072656,475.0071333225338,16.066140529053435,12.843444914147637,404813.2076353257,0.040888263992863653,0.02791678897280808,0.5433012210534041,0.3878937259809243,938965952.0,1080315852.71,897016362.6666666,1012558800.0
North Lahontan,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,40.512021030060794,215.63894625033407,12.798114322050653,9.019043847415727,52139.63450496504,0.027442351638137824,0.030510644083170235,0.2813940621229928,0.6606529421556993,236200016.0,197467646.07999998,240300768.0,237305460.0
Sacramento River,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,60.20358227015446,343.2529352635935,17.764497144487088,14.168612358028543,2791516.551693471,0.07351860541163452,0.13624998309286113,0.3507884367088048,0.4394429747866996,9257765888.0,13611944314.924452,8767422805.333334,12693873000.0
San Francisco Bay,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,34.978533814311135,245.12175896934485,19.363802317396107,17.28738325152309,6283320.7149767,0.31033688166400525,0.03342910937083541,0.2037572465036571,0.45247676246150226,16120458240.0,22743406141.044533,15357137578.666666,18404454000.0
San Joaquin River,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,49.67338466142435,285.3039198079737,18.703913151878478,15.518058234670816,1427805.525806584,0.07682534417940863,0.24388834871498055,0.23399773754221803,0.44528856956339286,5382556672.0,7783530659.204707,4946136746.666667,6227948500.0
South Coast,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,19.408376668545394,181.31014271314226,20.788729555512642,18.63255801257949,18466434.084947623,0.39177108384652015,0.01862894806066179,0.06625318812504367,0.5233467799677743,52737515520.0,78101918819.43973,51080497834.666664,59111113000.0
South Lahontan,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,9.832076132597093,66.2235182180278,22.080776950214116,17.80246652102426,877939.2114411406,0.023821142978304205,0.0046810996233798,0.039666033307520984,0.931831724090795,2819729408.0,3582492104.50916,2603740074.6666665,3343960800.0
Tulare Lake,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,26.092648633957687,170.59592853190517,20.070185043303773,16.715859344743535,1956176.8872537084,0.07755238174512745,0.3334548111378075,0.1349892337170532,0.45400357340001174,8089056256.0,10144952198.618563,7400159232.0,10338446000.0
Central Coast,2026-05-01,2026,5,0.49999999999999994,-0.8660254037844387,9.8037191006122,132.32337897851335,22.685348735588455,20.105679825085925,1160175.3999662832,0.06439072786254832,0.07005618645972994,0.13995807161850124,0.7255950140592206,4399781376.0,5022492529.136805,3787268608.0,5370743000.0
Colorado River,2026-05-01,2026,5,0.49999999999999994,-0.8660254037844387,3.283287950719074,24.674063514819064,30.897230147262164,26.950310900900625,654634.9635195597,0.027363281998449725,0.06398959049117801,0.006742416739079068,0.9019047107712932,2348193024.0,7933417575.1584,2194025386.6666665,2610640100.0
North Coast,2026-05-01,2026,5,0.49999999999999994,-0.8660254037844387,45.92736100601229,325.3418844913899,19.969383358781673,15.95288150103574,405308.55003448715,0.040888263992863653,0.02791678897280808,0.5433012210534041,0.3878937259809243,1012558784.0,1328626168.823,935539840.0,1213123000.0
North Lahontan,2026-05-01,2026,5,0.49999999999999994,-0.8660254037844387,35.36242023528061,164.13076262769252,17.003194946409664,12.600046250055833,52203.43423076439,0.027442351638137824,0.030510644083170235,0.2813940621229928,0.6606529421556993,237305456.0,312268612.78999996,234724986.66666666,326345120.0
Sacramento River,2026-05-01,2026,5,0.49999999999999994,-0.8660254037844387,38.13138522909155,240.94338955937553,22.030335678612047,17.588398968301963,2794932.3407041407,0.07351860541163452,0.13624998309286113,0.3507884367088048,0.4394429747866996,12693872640.0,20549662578.535122,10002202624.0,17109220000.0
San Francisco Bay,2026-05-01,2026,5,0.49999999999999994,-0.8660254037844387,15.357253257550292,152.82311975878048,21.43725283022634,19.12205553228372,6291009.187336181,0.31033688166400525,0.03342910937083541,0.2037572465036571,0.45247676246150226,18404454400.0,27409696253.544014,16442039296.0,21957616000.0
